debate_id,title,turn1,turn2,sector_label,confidence,combined_text
D001,Approval Process for Requests for Air-conditioners to be Installed in HDB Rental Flats,"asked the Minister for National Development (a) of the HDB public rental flats that are occupied, how many are currently approved to have air-conditioning units installed; (b) what are the common grounds on which such requests have been approved; and (c) what is the average waiting time for HDB to approve a rental flat tenant's request for air-conditioning installation.","As of August 2025, about 7,000 public rental flats had air conditioners installed. The Housing and Development Board will take into consideration tenants' circumstances, including medical grounds, in assessing each application. Approvals for air conditioner installation are usually issued within two weeks, if the proposed installation complies with the technical guidelines.",Housing & Property,HIGH,"Approval Process for Requests for Air-conditioners to be Installed in HDB Rental Flats [SEP] asked the Minister for National Development (a) of the HDB public rental flats that are occupied, how many are currently approved to have air-conditioning units installed; (b) what are the common grounds on which such requests have been approved; and (c) what is the average waiting time for HDB to approve a rental flat tenant's request for air-conditioning installation. [SEP] As of August 2025, about 7,000 public rental flats had air conditioners installed. The Housing and Development Board will take into consideration tenants' circumstances, including medical grounds, in assessing each application. Approvals for air conditioner installation are usually issued within two weeks, if the proposed installation complies with the technical guidelines."
D002,Data on Out-of-Pocket Spending for Chronic Diseases by CHAS Card Tier and Income Decile and Plans for Further Subsidies,"asked the Coordinating Minister for Social Policies and Minister for Health for CHAS cardholders with chronic diseases, (a) what is the distribution of annual out-of-pocket spending by card tier and income decile; (b) what are the current utilisation rates and average unused balances; (c) what proportion of common chronic medications are in the Standard Drug List; and (d) whether there are plans to expand subsidies or reference pricing.","The Ministry of Health (MOH) does not have readily available data on the distribution of annual out-of-pocket costs, that is, after CHAS subsidy and MediSave, at the Community Health Assist Scheme (CHAS) clinics, by income decile and card tier. The table below shows the annual post-subsidy amount for CHAS cardholders that utilised CHAS chronic subsidies in 2024. These amounts can be further reduced by MediSave through the MediSave 500/700 scheme. MOH does not have data specifically on the number of CHAS, Pioneer Generation or Merdeka Generation cardholders with chronic conditions. Nonetheless, we observe that around 14% of the 2.7 million cardholders utilised CHAS chronic subsidies in 2024. Not all CHAS cardholders require chronic disease management. Those who require chronic disease management may not tap on CHAS chronic subsidies as they may be managing their care at other settings or may tap on other payment arrangements, such as employee medical benefits. MOH reviews CHAS subsidies regularly, taking into consideration the out-of-pocket costs for patients after MediSave, to ensure that they are adequate amid rising healthcare costs. Most common chronic medications are subsidised under the Standard Drug List and Medication Assistance Fund List.",Healthcare,HIGH,"Data on Out-of-Pocket Spending for Chronic Diseases by CHAS Card Tier and Income Decile and Plans for Further Subsidies [SEP] asked the Coordinating Minister for Social Policies and Minister for Health for CHAS cardholders with chronic diseases, (a) what is the distribution of annual out-of-pocket spending by card tier and income decile; (b) what are the current utilisation rates and average unused balances; (c) what proportion of common chronic medications are in the Standard Drug List; and (d) whether there are plans to expand subsidies or reference pricing. [SEP] The Ministry of Health (MOH) does not have readily available data on the distribution of annual out-of-pocket costs, that is, after CHAS subsidy and MediSave, at the Community Health Assist Scheme (CHAS) clinics, by income decile and card tier. The table below shows the annual post-subsidy amount for CHAS cardholders that utilised CHAS chronic subsidies in 2024. These amounts can be further reduced by MediSave through the MediSave 500/700 scheme. MOH does not have data specifically on the number of CHAS, Pioneer Generation or Merdeka Generation cardholders with chronic conditions. Nonetheless, we observe that around 14% of the 2.7 million cardholders utilised CHAS chronic subsidies in 2024. Not all CHAS cardholders require chronic disease management. Those who require chronic disease management may not tap on CHAS chronic subsidies as they may be managing their care at other settings or may tap on other payment arrangements, such as employee medical benefits. MOH reviews CHAS subsidies regularly, taking into consideration the out-of-pocket costs for patients after MediSave, to ensure that they are adequate amid rising healthcare costs. Most common chronic medications are subsidised under the Standard Drug List and Medication Assistance Fund List."
D003,Discrepancies in Immigration Entry and Exit Records,"asked the Coordinating Minister for National Security and Minister for Home Affairs in view of the recent cases of long-term overstayers discovered after many years (a) how many discrepancies between immigration entry and exit records are there currently on ICA's records, where individuals have no record of exiting Singapore when they should; and (b) whether the median length of overstay has been increasing since 2019.","Based on the Immigration and Checkpoints Authority's (ICA's) records, there are currently 500 to 600 overstayers whom ICA is trying to track. This is less than 0.001% of our annual visitor arrival numbers. The median duration of foreigners who overstayed and were arrested each year has remained stable since 2019, averaging at about three months .",Defence & Home Affairs,HIGH,"Discrepancies in Immigration Entry and Exit Records [SEP] asked the Coordinating Minister for National Security and Minister for Home Affairs in view of the recent cases of long-term overstayers discovered after many years (a) how many discrepancies between immigration entry and exit records are there currently on ICA's records, where individuals have no record of exiting Singapore when they should; and (b) whether the median length of overstay has been increasing since 2019. [SEP] Based on the Immigration and Checkpoints Authority's (ICA's) records, there are currently 500 to 600 overstayers whom ICA is trying to track. This is less than 0.001% of our annual visitor arrival numbers. The median duration of foreigners who overstayed and were arrested each year has remained stable since 2019, averaging at about three months ."
D004,Implications for Singapore from Disputes over US Claim on Greenland,"asked the Minister for Foreign Affairs what are the implications, if any, for Singapore arising from the dispute between the US and some of its NATO allies over Greenland.",asked the Minister for Foreign Affairs (a) what is the Government’s assessment on the impact that the United States’ claim on Greenland will have on Singapore; and (b) how will President Trump’s threats of applying tariffs on nations that oppose the United States’ claim on Greenland affect the way the Singapore Government approaches the issue.,Defence & Home Affairs,MEDIUM,"Implications for Singapore from Disputes over US Claim on Greenland [SEP] asked the Minister for Foreign Affairs what are the implications, if any, for Singapore arising from the dispute between the US and some of its NATO allies over Greenland. [SEP] asked the Minister for Foreign Affairs (a) what is the Government’s assessment on the impact that the United States’ claim on Greenland will have on Singapore; and (b) how will President Trump’s threats of applying tariffs on nations that oppose the United States’ claim on Greenland affect the way the Singapore Government approaches the issue."
D005,Evaluating Risky and Ineffective Airdrops of Humanitarian Aid to Intended Recipients,"asked the Coordinating Minister for Public Services and Minister for Defence whether the Ministry has evaluated the value of conducting airdrops of humanitarian aid, in the light of concerns that such airdrops into the Gaza strip have been ineffective, dangerous and risky to intended recipients.","The preferred and most effective model of humanitarian aid delivery to Gaza is via land transfer. Airdrops, which entail higher risk and cost, are a last resort when land transfer becomes restricted and the humanitarian situation is dire. To reduce the risk to the intended recipients, the Republic of Singapore Air Force (RSAF) worked with the Royal Jordanian Air Force to select suitable drop zones, taking into consideration the safety of civilians in Gaza. Checks were conducted to ensure that the parachutes and loads were rigged in accordance with established safety standards and practices. The RSAF crew also carried out detailed planning to ensure the aid loads would land within the identified drop zones safely. If needed and tasked to conduct airdrops in Gaza as a last resort, the RSAF will continue to take similar precautions.",Defence & Home Affairs,MEDIUM,"Evaluating Risky and Ineffective Airdrops of Humanitarian Aid to Intended Recipients [SEP] asked the Coordinating Minister for Public Services and Minister for Defence whether the Ministry has evaluated the value of conducting airdrops of humanitarian aid, in the light of concerns that such airdrops into the Gaza strip have been ineffective, dangerous and risky to intended recipients. [SEP] The preferred and most effective model of humanitarian aid delivery to Gaza is via land transfer. Airdrops, which entail higher risk and cost, are a last resort when land transfer becomes restricted and the humanitarian situation is dire. To reduce the risk to the intended recipients, the Republic of Singapore Air Force (RSAF) worked with the Royal Jordanian Air Force to select suitable drop zones, taking into consideration the safety of civilians in Gaza. Checks were conducted to ensure that the parachutes and loads were rigged in accordance with established safety standards and practices. The RSAF crew also carried out detailed planning to ensure the aid loads would land within the identified drop zones safely. If needed and tasked to conduct airdrops in Gaza as a last resort, the RSAF will continue to take similar precautions."
D006,Update on Review to Remove 15-month Wait-out Requirement for Private Property Owners Downgrading to HDB Flats,asked the Minister for National Development whether there will be updates on when HDB will complete its review to remove the 15-month wait-out requirement for private property owners downgrading to HDB flats.,"This answer will provide a combined response to related questions raised by Mr Liang Eng Hwa, Ms Valerie Lee, Ms Yeo Wan Ling and Mr Alex Yeo, which are scheduled for subsequent Sittings. As part of the property cooling measures introduced in September 2022 to promote sustainable conditions in the property market, private property owners need to wait 15 months after the disposal of their properties, before buying a non-subsidised Housing and Development Board (HDB) resale flat. To better support the retirement needs of seniors, Singapore citizens aged 55 and above are exempted from this waiting period if they move from their private residential property to a 4-room or smaller resale HDB flat. Since 2022, HDB has processed about 1,800 appeals annually from private property owners to waive the 15-month wait-out period. This number has been stable over the last few years. HDB acceded to about one in four appeals, mainly for households in financial difficulties or extenuating circumstances, who have no alternative housing options. HDB does not track the appeals by the flat type that the appellant seeks to purchase. We will continue to monitor the resale market and when conditions allow, we plan to remove the 15-month wait-out period.",Housing & Property,HIGH,"Update on Review to Remove 15-month Wait-out Requirement for Private Property Owners Downgrading to HDB Flats [SEP] asked the Minister for National Development whether there will be updates on when HDB will complete its review to remove the 15-month wait-out requirement for private property owners downgrading to HDB flats. [SEP] This answer will provide a combined response to related questions raised by Mr Liang Eng Hwa, Ms Valerie Lee, Ms Yeo Wan Ling and Mr Alex Yeo, which are scheduled for subsequent Sittings. As part of the property cooling measures introduced in September 2022 to promote sustainable conditions in the property market, private property owners need to wait 15 months after the disposal of their properties, before buying a non-subsidised Housing and Development Board (HDB) resale flat. To better support the retirement needs of seniors, Singapore citizens aged 55 and above are exempted from this waiting period if they move from their private residential property to a 4-room or smaller resale HDB flat. Since 2022, HDB has processed about 1,800 appeals annually from private property owners to waive the 15-month wait-out period. This number has been stable over the last few years. HDB acceded to about one in four appeals, mainly for households in financial difficulties or extenuating circumstances, who have no alternative housing options. HDB does not track the appeals by the flat type that the appellant seeks to purchase. We will continue to monitor the resale market and when conditions allow, we plan to remove the 15-month wait-out period."
D007,Strengthening Resources for Peer Support of Mental Health in Community Settings and Workplaces,"asked the Coordinating Minister for Social Policies and Minister for Health whether there are plans to strengthen and resource peer support structures for mental health in community settings and workplaces, including training, supervision and safeguards for peer supporters so that early help is more accessible while ensuring that peer supporters are not over-burdened or placed in situations beyond their competencies.","Sir, the Health Promotion Board (HPB) offers peer support training for Institutes of Higher Learning (IHLs), workplaces and community groups. Participants are trained to recognise peers in distress, provide active listening and guide them to seek help early. Peer supporters also learn to practise self-care and may seek help through their own organisations' Employee Assistance Programmes or counselling services. From this year onwards, HPB's peer supporter training will be available in a hybrid format and offer additional modules to enhance training. Additionally, the National Council of Social Service's (NCSS') peer support specialist programme trains persons with lived experiences to support others on their recovery journeys. The Ministry of Manpower (MOM) and the Workplace Safety and Health (WSH) Council have established the Well-being Champions Network to provide workplace-appointed Champions with the necessary resources and training to better support their organisations in promoting workplace mental health well-being. The Agency for Integrated Care (AIC) also offers online mental health awareness modules to better equip frontliners to help persons with mental health needs navigate the service landscape. But I must say that these resources we put forth for peer support and peer support itself, is only one prong of the scaffolding we are wrapping around persons with mental health needs. In addition to some of these peer support measures that we are doing, the Member will also realise from what I shared earlier in the earlier Parliamentary Question, that we have platforms, such as MindSG.gov.sg and mindline.sg, that provide the public with useful mental health information and resources. Ultimately, peer support is meant as a scaffold to support the greater needs of the community. They are not meant to carry the burden of mental health care that the professionals should be doing. I think if a peer supporter feels that there is something beyond which his or her competency can handle, then I think these resources we put forth, like mindline.sg, can be useful referral points for the peer supporter to guide the person in need, to access these resources where they can receive more in-depth counselling and subsequent referral to relevant care needs, at higher acuity of care .",Healthcare,HIGH,"Strengthening Resources for Peer Support of Mental Health in Community Settings and Workplaces [SEP] asked the Coordinating Minister for Social Policies and Minister for Health whether there are plans to strengthen and resource peer support structures for mental health in community settings and workplaces, including training, supervision and safeguards for peer supporters so that early help is more accessible while ensuring that peer supporters are not over-burdened or placed in situations beyond their competencies. [SEP] Sir, the Health Promotion Board (HPB) offers peer support training for Institutes of Higher Learning (IHLs), workplaces and community groups. Participants are trained to recognise peers in distress, provide active listening and guide them to seek help early. Peer supporters also learn to practise self-care and may seek help through their own organisations' Employee Assistance Programmes or counselling services. From this year onwards, HPB's peer supporter training will be available in a hybrid format and offer additional modules to enhance training. Additionally, the National Council of Social Service's (NCSS') peer support specialist programme trains persons with lived experiences to support others on their recovery journeys. The Ministry of Manpower (MOM) and the Workplace Safety and Health (WSH) Council have established the Well-being Champions Network to provide workplace-appointed Champions with the necessary resources and training to better support their organisations in promoting workplace mental health well-being. The Agency for Integrated Care (AIC) also offers online mental health awareness modules to better equip frontliners to help persons with mental health needs navigate the service landscape. But I must say that these resources we put forth for peer support and peer support itself, is only one prong of the scaffolding we are wrapping around persons with mental health needs. In addition to some of these peer support measures that we are doing, the Member will also realise from what I shared earlier in the earlier Parliamentary Question, that we have platforms, such as MindSG.gov.sg and mindline.sg, that provide the public with useful mental health information and resources. Ultimately, peer support is meant as a scaffold to support the greater needs of the community. They are not meant to carry the burden of mental health care that the professionals should be doing. I think if a peer supporter feels that there is something beyond which his or her competency can handle, then I think these resources we put forth, like mindline.sg, can be useful referral points for the peer supporter to guide the person in need, to access these resources where they can receive more in-depth counselling and subsequent referral to relevant care needs, at higher acuity of care ."
D008,Mitigation Actions Taken to Protect At-risk Children from Abusive Situations against Potential System Lapses,"asked the Minister for Social and Family Development (a) when will the Domestic Violence Awareness Training be reviewed and refreshed; and (b) whether the Ministry will be expanding or mandating the training to other sectors beyond professionals from childcare centres and schools in order to promote learning amongst practitioners, and increase public awareness of how to spot and report signs of child abuse.","asked the Minister for Social and Family Development (a) what is the guideline on the maximum number of cases handled by each social worker annually; (b) what percentage of social workers are handling cases beyond the maximum number; and (c) how will the Ministry enhance the well-being of social workers to prevent burnout and lapses, enabling them to serve their clients to the best of their abilities.",Social & Family Policy,HIGH,"Mitigation Actions Taken to Protect At-risk Children from Abusive Situations against Potential System Lapses [SEP] asked the Minister for Social and Family Development (a) when will the Domestic Violence Awareness Training be reviewed and refreshed; and (b) whether the Ministry will be expanding or mandating the training to other sectors beyond professionals from childcare centres and schools in order to promote learning amongst practitioners, and increase public awareness of how to spot and report signs of child abuse. [SEP] asked the Minister for Social and Family Development (a) what is the guideline on the maximum number of cases handled by each social worker annually; (b) what percentage of social workers are handling cases beyond the maximum number; and (c) how will the Ministry enhance the well-being of social workers to prevent burnout and lapses, enabling them to serve their clients to the best of their abilities."
D009,Update on Food Security Strategy with Revised 2035 Fibre and Protein Production Targets,"asked the Minister for Sustainability and the Environment (a) how do the revised targets for fibre and protein productions by 2035 compare to the ""30 by 30"" targets in terms of total local food production volume; and (b) how will the Ministry ensure that these revised targets are adequate, sustainable and resilient to current and future challenges.",asked the Minister for Sustainability and the Environment (a) what is the rationale for setting targets specifically for (i) fibre and (ii) protein production in the Ministry's new 2035 farming goals; and (b) how is Singapore's food security measured vis-à-vis local farming production.,Environment,HIGH,"Update on Food Security Strategy with Revised 2035 Fibre and Protein Production Targets [SEP] asked the Minister for Sustainability and the Environment (a) how do the revised targets for fibre and protein productions by 2035 compare to the ""30 by 30"" targets in terms of total local food production volume; and (b) how will the Ministry ensure that these revised targets are adequate, sustainable and resilient to current and future challenges. [SEP] asked the Minister for Sustainability and the Environment (a) what is the rationale for setting targets specifically for (i) fibre and (ii) protein production in the Ministry's new 2035 farming goals; and (b) how is Singapore's food security measured vis-à-vis local farming production."
D010,Compatibility Issues between ERP 2.0 On-board Units and Some Car Park Gantry Systems,"asked the Acting Minister for Transport (a) whether the Ministry is aware of compatibility issues between ERP 2.0 on-board units and certain carpark gantry systems; (b) if so, how many such incidents have been reported since ERP 2.0 rollout; and (c) what steps are being taken to ensure seamless interoperability between ERP 2.0 and all parking gantry systems islandwide.","All Electronic Road Pricing (ERP) 2 On-Board Units (OBUs) are compatible with the existing Electronic Parking System carparks. However, motorists may sometimes encounter problems accessing such carparks because the OBU antenna in their vehicles are not within range of the carpark antenna. This can be remedied either by repositioning the vehicle, or in other situations, recalibrating the position of the affected antenna. This issue exists for ERP 1 as well.",Transport,HIGH,"Compatibility Issues between ERP 2.0 On-board Units and Some Car Park Gantry Systems [SEP] asked the Acting Minister for Transport (a) whether the Ministry is aware of compatibility issues between ERP 2.0 on-board units and certain carpark gantry systems; (b) if so, how many such incidents have been reported since ERP 2.0 rollout; and (c) what steps are being taken to ensure seamless interoperability between ERP 2.0 and all parking gantry systems islandwide. [SEP] All Electronic Road Pricing (ERP) 2 On-Board Units (OBUs) are compatible with the existing Electronic Parking System carparks. However, motorists may sometimes encounter problems accessing such carparks because the OBU antenna in their vehicles are not within range of the carpark antenna. This can be remedied either by repositioning the vehicle, or in other situations, recalibrating the position of the affected antenna. This issue exists for ERP 1 as well."
D011,Implication of Aquaculture Plan on Singapore Food Story 2.0,asked the Minister for Sustainability and the Environment how the aquaculture plan launched at the end of 2024 fits into the Singapore Food Story 2.0.,"The refreshed Singapore Aquaculture Plan (SAP) is a collaborative effort among various stakeholders, that is, Government agencies, academia, industry and nature groups, to co-create a living blueprint to uplift Singapore's aquaculture sector. It supports the Grow Local pillar of the Singapore Food Story 2.0. Key initiatives under the SAP include the National Broodstock Centre (NBC) and Hatchery Development and Recognition Programme (HDRP). The NBC supplies genetically superior eggs that have higher grow-out rates and are free from key production diseases, and commercial hatcheries under the HDRP raises the eggs into fingerlings for farming.",Environment,HIGH,"Implication of Aquaculture Plan on Singapore Food Story 2.0 [SEP] asked the Minister for Sustainability and the Environment how the aquaculture plan launched at the end of 2024 fits into the Singapore Food Story 2.0. [SEP] The refreshed Singapore Aquaculture Plan (SAP) is a collaborative effort among various stakeholders, that is, Government agencies, academia, industry and nature groups, to co-create a living blueprint to uplift Singapore's aquaculture sector. It supports the Grow Local pillar of the Singapore Food Story 2.0. Key initiatives under the SAP include the National Broodstock Centre (NBC) and Hatchery Development and Recognition Programme (HDRP). The NBC supplies genetically superior eggs that have higher grow-out rates and are free from key production diseases, and commercial hatcheries under the HDRP raises the eggs into fingerlings for farming."
D012,Guidelines for Approval of Renovation Works for Older HDB Flats to Ensure Structural Integrity and Prevent Damages,"asked the Minister for National Development (a) whether there is a different set of criteria or requirements for approving renovation works for older HDB flats, particularly hacking works to ensure structural integrity and prevent damage to adjoining units including those above and below; and (b) if not, whether the Ministry will consider introducing them.","The Housing and Development Board (HDB) applies the same structural safety standards and approval process for renovation works across all HDB flats, regardless of age. To ensure structural integrity and safety, contractors must obtain HDB's approval before commencing any renovation works that may affect the structure of the flat. HDB will evaluate the proposed works and may include site-specific conditions in the permit where needed, such as imposing limits on the extent a particular wall can be removed. In addition, such renovation works can only be done by contractors listed in the Directory of Renovation Contractors (DRC). DRC contractors must only deploy workers who have been trained by the Building and Construction Authority Academy to carry out demolition or hacking of walls in HDB flats. HDB has no plans to introduce a different set of criteria for renovation works for older flats, as the current assessment approach is sufficiently robust.",Housing & Property,HIGH,"Guidelines for Approval of Renovation Works for Older HDB Flats to Ensure Structural Integrity and Prevent Damages [SEP] asked the Minister for National Development (a) whether there is a different set of criteria or requirements for approving renovation works for older HDB flats, particularly hacking works to ensure structural integrity and prevent damage to adjoining units including those above and below; and (b) if not, whether the Ministry will consider introducing them. [SEP] The Housing and Development Board (HDB) applies the same structural safety standards and approval process for renovation works across all HDB flats, regardless of age. To ensure structural integrity and safety, contractors must obtain HDB's approval before commencing any renovation works that may affect the structure of the flat. HDB will evaluate the proposed works and may include site-specific conditions in the permit where needed, such as imposing limits on the extent a particular wall can be removed. In addition, such renovation works can only be done by contractors listed in the Directory of Renovation Contractors (DRC). DRC contractors must only deploy workers who have been trained by the Building and Construction Authority Academy to carry out demolition or hacking of walls in HDB flats. HDB has no plans to introduce a different set of criteria for renovation works for older flats, as the current assessment approach is sufficiently robust."
D013,Extension of Enhanced MRSS for Vulnerable Workers with Career Interruptions Due to Caregiving Reasons,asked the Minister for Manpower whether the Government will consider extending the enhanced Matched Retirement Savings Scheme or introducing a similar matching scheme for vulnerable workers experiencing career interruptions due to caregiving or medical reasons.,"Vulnerable individuals who do not have enough retirement savings as a result of career interruptions due to caregiving or medical reasons can already benefit from the Matched Retirement Savings Scheme (MRSS) from age 55, which we enhanced in 2025. They may also benefit from other support measures, such as the Silver Support Scheme, the Retirement Savings Bonus under the Majulah Package and the recent Budget 2026 Central Provident Fund top-up. Younger Singaporeans have a longer runway to build their retirement savings, and our priority is to support them to return to work when they are ready. They can tap on the employment facilitation services offered by Workforce Singapore and the National Trades Union Congress' Employment and Employability Institute for job search and career transition support. When they return to work, they may be eligible for the Workfare Income Supplement, which supplements their income and retirement savings. Tripartite partners have also been promoting flexible work arrangements which provide more opportunities for those who need such flexibility.",Labour & Workforce,HIGH,"Extension of Enhanced MRSS for Vulnerable Workers with Career Interruptions Due to Caregiving Reasons [SEP] asked the Minister for Manpower whether the Government will consider extending the enhanced Matched Retirement Savings Scheme or introducing a similar matching scheme for vulnerable workers experiencing career interruptions due to caregiving or medical reasons. [SEP] Vulnerable individuals who do not have enough retirement savings as a result of career interruptions due to caregiving or medical reasons can already benefit from the Matched Retirement Savings Scheme (MRSS) from age 55, which we enhanced in 2025. They may also benefit from other support measures, such as the Silver Support Scheme, the Retirement Savings Bonus under the Majulah Package and the recent Budget 2026 Central Provident Fund top-up. Younger Singaporeans have a longer runway to build their retirement savings, and our priority is to support them to return to work when they are ready. They can tap on the employment facilitation services offered by Workforce Singapore and the National Trades Union Congress' Employment and Employability Institute for job search and career transition support. When they return to work, they may be eligible for the Workfare Income Supplement, which supplements their income and retirement savings. Tripartite partners have also been promoting flexible work arrangements which provide more opportunities for those who need such flexibility."
D014,Security Implications for Singapore and Region Given Policy Shifts in 2025 US National Security Strategy Paper,asked the Coordinating Minister for Public Services and Minister for Defence in view of the policy shifts as outlined in the 2025 US National Security Strategy paper (a) what are the security implications for Singapore and the region; and (b) whether Singapore's ongoing and future defence cooperations with the US will be impacted by the US' prioritisation of the Western Hemisphere.,"The Member may refer to the written reply to Parliamentary Question No 8, asked by Mr Yip Hon Weng, for the Sitting on 13 January 2026.",Defence & Home Affairs,HIGH,"Security Implications for Singapore and Region Given Policy Shifts in 2025 US National Security Strategy Paper [SEP] asked the Coordinating Minister for Public Services and Minister for Defence in view of the policy shifts as outlined in the 2025 US National Security Strategy paper (a) what are the security implications for Singapore and the region; and (b) whether Singapore's ongoing and future defence cooperations with the US will be impacted by the US' prioritisation of the Western Hemisphere. [SEP] The Member may refer to the written reply to Parliamentary Question No 8, asked by Mr Yip Hon Weng, for the Sitting on 13 January 2026."
D015,"Number of Vape-related Arrests Made, and Update on Enforcement, Preventive and Rehabilitative Measures for Tackling Vaping",asked the Coordinating Minister for Social Policies and Minister for Health (a) what prompted the recent inter-ministerial efforts to ban vaping; (b) how many individuals have been caught for vaping or possession offences from (i) January to June 2025 and (ii) July to August 2025; and (c) what are the Ministry's plans for the control of etomidate after its Class C classification expires on 28 February 2026.,asked the Coordinating Minister for Social Policies and Minister for Health (a) how many vaping cases have been reported via (i) hotline and (ii) webform in 2025; (b) how many of such cases led to the identification of offenders; (c) how many of these are students; and (d) whether vape use has declined since the hotline and webform were introduced.,Healthcare,HIGH,"Number of Vape-related Arrests Made, and Update on Enforcement, Preventive and Rehabilitative Measures for Tackling Vaping [SEP] asked the Coordinating Minister for Social Policies and Minister for Health (a) what prompted the recent inter-ministerial efforts to ban vaping; (b) how many individuals have been caught for vaping or possession offences from (i) January to June 2025 and (ii) July to August 2025; and (c) what are the Ministry's plans for the control of etomidate after its Class C classification expires on 28 February 2026. [SEP] asked the Coordinating Minister for Social Policies and Minister for Health (a) how many vaping cases have been reported via (i) hotline and (ii) webform in 2025; (b) how many of such cases led to the identification of offenders; (c) how many of these are students; and (d) whether vape use has declined since the hotline and webform were introduced."
D016,Impact of Marginal Bidders in COE Auctions Disproportionately Influencing Clearing Prices across Categories A and B,"asked the Acting Minister for Transport (a) whether the Ministry has analysed the marginal bidder effect in COE auctions, including how a small number of relatively price-insensitive corporate bids, supported by tax treatment or in-house financing arrangements, may disproportionately influence clearing prices across Categories A and B; and (b) if so, whether further details will be shared.","The Certificate of Entitlement (COE) bidding is a uniform price auction, with the clearing price set at the highest unsuccessful bid plus $1. Across bidding exercises in 2025, three in four Category A and B COEs were won at bids within 5% of the eventual clearing price. This is also why a Pay-As-You-Bid (PAYB) bidding system, which is often suggested, will not bring down COE prices, as all bidders pay the clearing price regardless of what they bid. There is evidence to suggest that corporates are, in fact, price sensitive when bidding for COEs. In the most recent bidding exercise that ended on 21 January 2026, the rise in COE prices for Category A and B saw a significant drop in the proportion of bids won by car-leasing companies to 4% in Category A and 5% in Category B. In 2025, car-leasing companies won around 10% of Category A and B bids.",Transport,HIGH,"Impact of Marginal Bidders in COE Auctions Disproportionately Influencing Clearing Prices across Categories A and B [SEP] asked the Acting Minister for Transport (a) whether the Ministry has analysed the marginal bidder effect in COE auctions, including how a small number of relatively price-insensitive corporate bids, supported by tax treatment or in-house financing arrangements, may disproportionately influence clearing prices across Categories A and B; and (b) if so, whether further details will be shared. [SEP] The Certificate of Entitlement (COE) bidding is a uniform price auction, with the clearing price set at the highest unsuccessful bid plus $1. Across bidding exercises in 2025, three in four Category A and B COEs were won at bids within 5% of the eventual clearing price. This is also why a Pay-As-You-Bid (PAYB) bidding system, which is often suggested, will not bring down COE prices, as all bidders pay the clearing price regardless of what they bid. There is evidence to suggest that corporates are, in fact, price sensitive when bidding for COEs. In the most recent bidding exercise that ended on 21 January 2026, the rise in COE prices for Category A and B saw a significant drop in the proportion of bids won by car-leasing companies to 4% in Category A and 5% in Category B. In 2025, car-leasing companies won around 10% of Category A and B bids."
D017,Reintegration of Platform Workers to Traditional Employment through Support for Job Redesign Programme,"asked the Minister for Manpower (a) whether the Support for Job Redesign programme is deployed to incentivise flexible work arrangements that mirror platform autonomy to attract platform workers back to traditional employment; and (b) if so, what results have been achieved through this programme.","Mr Speaker, the Support for Job Redesign programme aims to help employers redesign jobs to drive business objectives, including accommodating Flexible Work Arrangements (FWAs), improve workforce effectiveness and help businesses tap on a broader pool of workers. The programme is not targeted at bringing platform workers back to traditional employment, as platform workers operate under different work arrangements from employees on FWAs. Workforce Singapore (WSG) does not track the number of platform workers who transition to traditional employment through the programme.",Labour & Workforce,HIGH,"Reintegration of Platform Workers to Traditional Employment through Support for Job Redesign Programme [SEP] asked the Minister for Manpower (a) whether the Support for Job Redesign programme is deployed to incentivise flexible work arrangements that mirror platform autonomy to attract platform workers back to traditional employment; and (b) if so, what results have been achieved through this programme. [SEP] Mr Speaker, the Support for Job Redesign programme aims to help employers redesign jobs to drive business objectives, including accommodating Flexible Work Arrangements (FWAs), improve workforce effectiveness and help businesses tap on a broader pool of workers. The programme is not targeted at bringing platform workers back to traditional employment, as platform workers operate under different work arrangements from employees on FWAs. Workforce Singapore (WSG) does not track the number of platform workers who transition to traditional employment through the programme."
