,precision,recall,f1-score,support
Defence & Home Affairs,0.8888888888888888,0.7272727272727273,0.8,22.0
Digital Economy & Tech,0.75,0.6,0.6666666666666666,10.0
Education,0.85,0.85,0.85,40.0
Environment,0.7551020408163265,0.8809523809523809,0.8131868131868132,42.0
Financial Services,0.5,0.3333333333333333,0.4,9.0
Healthcare,0.8214285714285714,0.9387755102040817,0.8761904761904762,49.0
Housing & Property,0.8,0.8205128205128205,0.810126582278481,39.0
Labour & Workforce,0.9166666666666666,0.7971014492753623,0.8527131782945736,69.0
Other / Cross-cutting,0.4,0.26666666666666666,0.32,15.0
Social & Family Policy,0.6666666666666666,0.7441860465116279,0.7032967032967034,43.0
Transport,0.9142857142857143,0.9552238805970149,0.9343065693430657,67.0
accuracy,0.8123456790123457,0.8123456790123457,0.8123456790123457,0.8123456790123457
macro avg,0.7511853226138941,0.7194568013932741,0.72968063538698,405.0
weighted avg,0.8096139525769156,0.8123456790123457,0.8074723223525337,405.0
